ID_PRODUCTO,NOMBRE,CATEGORIA,MARCA,PRECIO_ACTUAL,STOCK,PRECIO_FABRICACION
B0DSRHTGYG,pantalla tcl 75 inch class qm6k series smart tv,electronics,TCL,763.15,95,618.89
B0DVX8WJ7S,pantalla tcl 65 inch class qm7k series smart tv,electronics,TCL,881.42,2,726.12
B0DVZSG8D5,amd ryzen 9 9950x3d 16-core processor,personal computers,AMD,676.36,51,601.06
B0FQF9ZX7P,"monitor apple watch series 11 [gps 42mm] smartwatch with rose gold aluminum case with light blush sport band - s/m. sleep score, fitness tracker, health monitoring, always-on display, water resistant",watch,Apple,326.54,21,293.72
B0FQF5BZ8Z,"monitor apple watch series 11 [gps 46mm] smartwatch with jet black aluminum case with black sport band - m/l. sleep score, fitness tracker, health monitoring, always-on display, water resistant",watch,Apple,390.15,46,338.72
B00VYBIB6E,"microfono carlisle foodservice products n4401203 comfort curve ergonomic wash basin tote box lid, universal, black (pack of",misc.,Carlisle,41.25,9,35.96
B01MXRRAWF,libro electronico new collected p,kindle edition,Amazon,14.56,97,12.2
B0CYCQ1JF5,"prenda de vestir under armour men's project rock red one pom beanie, marine od green/red, one size fits most",apparel,Under Armour,14.51,94,11.92
B07NMS2Y67,libro electronico the fountains of para,apparel,Amazon,9.69,40,8.43
B076H6VZF5,memoria ram internet's best adjustable pet ramp,kindle edition,Internet's Best,105.58,25,93.99
B003YK96YO,"accesorio automotriz bestop 7550215 rear-mount trekstep for 2006-2014 ford f150 driver side only, black",kitchen,Bestop,325.47,42,287.44
B0052L23T8,libro electronico honeybee: lessons from an accidental beeke,automotive,Amazon,14.56,7,12.24
B0DT3XB493,"articulo de cocina ironck vanity desk with mirror and lights, small makeup vanity table with 5 drawers, power outlet, and vanity stool, 3 lighting colors, dressing table for women girls bedroom, w",kindle edition,IRONCK,175.66,65,147.95
B00G1SD5GQ,libro electronico last stand at khe sanh: the u.s. marines' finest hour in vie,kitchen,Amazon,15.79,84,13.49
B0F7Q6P1G3,"libro electronico the plc dashboard: implementing, leading, and sustaining your professional learning community at work! (a practical",kitchen,Amazon,33.59,50,29.06
B00CP8DF3O,"herramienta dewalt 20v max cordless shop vac, wet dry vacuum cleaner, portable 2 gallon wet dry vac, strong suction shop vacuum with hepa filter, tool only (dcv580h)",kindle edition,DEWALT,134.49,46,116.37
B01728NLRG,"monitor coway airmega ap-1512hh(w) true hepa purifier with air quality monitoring, auto, timer, filter indicator, and eco mode, 16.8 x 18.3 x 9.7, white",kindle edition,Coway,181.74,3,162.26
B07N3PQM5N,"panasonic streaming blu ray dvd player, 4k blu ray player with dolby vision and hdr10+ ultra hd premium video playback, hi-res audio, voice assist - dp-ub820-k (black)",health and beauty,Panasonic,604.17,85,499.24
B084ZV4DXB,disco duro seagate ironwolf 8tb nas internal hard drive hdd  –  3.5 inch sata 6gb/s 7200 rpm 256mb cache for raid network attached storage  –  frustration free packaging (st800,sports,Seagate,254.16,79,214.86
B0B5F9SZW7,"fitbit inspire 3 health &-fitness-tracker with stress management, workout intensity, sleep tracking, 24/7 heart rate and more, midnight zen/black one size (s & l bands included)",tools & home improvement,Fitbit,76.41,74,61.92
B0BBYSLL3V,"denon avr-x3800h 9.4-ch 8k uhd avr home theater stereo receiver, (105w x 9) built-in bluetooth wi-fi & heos multi-room streaming dolby atmos dts:x imax enhanced & auro 3d",kitchen,Denon,1778.7,86,1524.84
B0BS1T9J4Y,"television garmin forerunner 265 running smartwatch, colorful amoled display, training metrics and recovery insights, black and powder ",electronics,Garmin,369.27,86,311.46
B0BNWCWG7L,"juguete lego icons the lord of the rings: rivendell building set for adults, ages 18+ - lotr bedroom or home decor - gift for men & women - 10316",personal computers,LEGO,499.93,16,429.64
B0CDQM55C9,"monitor samsung 57"" odyssey neo g9 (g95nc) series dual 4k uhd 1000r curved gaming monitor, 240hz, 1ms with displayport 2.1, quantum mini-led, displayhdr 1000, amd freesync premium pro, ls57cg952nnxza",electronics,Samsung,1622.67,32,1415.95
B0CFSX431Z,software quicken classic deluxe for new subscribers,electronics,Quicken,51.99,49,43.06
B0D45PK5V4,"articulo de cocina ninja luxe cafe premier 3-in-1 espresso machine, drip coffee, & rapid c",electronics,Ninja,515.21,78,415.17
B0DVWW66H7,pantalla tcl 98 inch class qm7k series smart tv,toy,TCL,2697.05,81,2217.74
B0F53CZ4WT,pantalla tcl 65 inch class qm8k series smart tv,personal computers,TCL,1098.97,5,969.38
B0CGVSKR1G,"amazon kindle colorsoft 16 gb (newest model)  –  with color display that brings covers and content to life, now highlight in color  –  no a",software download,Amazon,248.23,93,205.81
B0F7Z4QZTT,"television amazon fire tv stick 4k plus (newest model) with ai-powered fire tv search, wi-fi 6, stream hundreds of thousands of movies and shows, free & live tv, find shows faster with al",product bundle,Amazon,31.22,31,26.88
B0FT99KCV8,"microfono samsung p9 express microsd express card, 256gb microsdxc memory card, up to 800 mb/s, for nintendo-switch 2, (mb mk256t",kitchen,Samsung,37.06,97,32.33
B0FY77GFRN,"laptop lenovo legion loq ai-powered gaming laptop - intel core i7-13650hx - 15.6"" fhd ips display, 144hz - geforce rtx 5050-16gb memory - 1tb storage - g-sync - luna grey",electronics,Lenovo,1181.27,88,1051.11
B0060UHDB8,"memoria ram urban accents popcorn season caramel corn, 2.25 oz",electronics,Urban Accents,6.89,89,5.96
B00FILC2B6,libro electronico the real crash: america's coming bankruptcy: how to save yourself and your cou,electronics,Amazon,13.37,57,11.42
B00Z9MUNQK,libro electronico refuge in hell: how berlin's jewish hospital outlasted the n,electronics,Amazon,6.54,1,5.25
B071J4KHDQ,libro electronico 6th grade nickname ,personal computers,Amazon,3.85,11,3.31
B00IQOJBTS,libro electronico thief (robin monarch series boo,personal computers,Amazon,7.06,98,6.33
B0D7D3LHCH,disco de vinilo little man,health and beauty,Universal Music,17.7,66,15.87
B0D4NJW9P9,libro electronico knot giving up : pack hart olympic omegaverse part 1 (olympicve,kindle edition,Amazon,3.68,30,3.1
B00J90C604,libro electronico suspicion of innoc,kindle edition,Amazon,8.53,4,7.56
B003JTHYB2,libro electronico cold magic (the spiritwalker trilogy boo,kindle edition,Amazon,4.28,61,3.8
B0CVMCDKWQ,"blue buffalo delectables natural wet dog food topper variety pack, tasty chicken, hearty beef, tender turkey, & savory lamb dinner 3-oz (24 pack- 6 of each flavor)",apparel,Blue Buffalo,41.54,89,37.03
B008PE3WKI,libro electronico a quiet american: the secret war of varian,kindle edition,Amazon,6.54,23,5.33
B09PLMX58J,producto de oficina youthefan nfl tennessee titans logo series desk pad,vinyl,YouTheFan,15.38,65,12.42
B000GIURIQ,"producto de salud y belleza optimum nutrition gold standard 100% whey protein powder, delicious strawberry, 2 pound (packaging may vary)",kindle edition,Optimum Nutrition,54.95,73,47.02
B0BLTDRRLF,"laptop crucial 32gb ddr5 ram kit (2x16gb), 5600mhz (or 5200mhz or 4800mhz) laptop memory 262-pin sodimm, compatible with intel core and amd ryzen 7000, black - ct2k16g56c46s5",kindle edition,Crucial,380.15,89,307.53
B0C33CHG99,"microfono cosori 9-in-1 turboblaze air fryer 6 qt, pfas-free ceramic coating, 90 – 450°f, precise heating for even results, air fry, roast, bake, broil, dry, frozen, proof, reheat, keep war",audio cd,Cosori,93.26,33,80.74
B0FDKR293G,"audifonos bose quietcomfort ultra bluetooth headphones (2nd gen), wireless headphones with spatial audio, over ear noise cancelling with mic, up to 30 hours of play time, b",kindle edition,Bose,444.95,41,375.38
B0GR6N18F6,juguete pokemon tcg: mega evolution – chaos rising elite t,kindle edition,Pokemon,108.14,49,96.07
B0CHPRCH3V,disco de vinilo pixel prison,target,Universal Music,12.51,35,10.3
B0BTQ836PN,articulo de cocina bali & pari bella modern bohemian natural mahogany wood and natural rattan 1-drawer nights,kindle edition,Bali & Pari,221.33,82,191.66
B000S1M5UY,libro electronico cirque du freak: allies of the night (cirque du freak: the saga of darren shan boo,office product,Amazon,6.41,4,5.71
B00BL3P5E6,libro electronico edge of never (the edge boo,kindle edition,Amazon,4.0,92,3.57
B0FQYM57F9,pelicula blu-ray scooby-doo on zombie island (terror time collector's edit,health and beauty,Warner Bros.,17.28,24,15.52
B01BOBYP68,libro electronico elite: a hunter novel (a hunter novel,personal computers,Amazon,5.61,7,4.76
B08TQJ9NZX,"television martin svensson home foundr"" tv stand, white stain with grey top",electronics,Martin Svensson Home,411.27,48,357.79
B0FS7Z12V7,pelicula blu-ray underneath: an anthology of terror [blu-,kitchen,Warner Bros.,13.85,41,12.2
B0FGPNLK6W,"articulo de cocina furinno basic book shelf, 4-tier bookcase with open shelf, bookshelf, cube storage organizer, 7 x 17 x 35, for living room, bedroom, home office, w",electronics,Furinno,28.64,71,23.37
B0D5FRXYMJ,"articulo de cocina chefman air fryer  –  4 qt compact airfryer for quick & easy meals, features hi-fry technology for extra crisp, easy-view window, touch controls with 4 presets, nonstick & dishwasher safe bask",toy,Chefman,62.79,67,53.06
B001EN58OU,libro electronico the eco chick guide to life: how to be fabulously g,vinyl,Amazon,6.88,50,6.0
B08J9FGGTS,libro electronico shattered galaxy: the complete after the galaxy series box set (scott bartlett space opera box sets boo,kitchen,Amazon,2.78,22,2.27
B0CDM579YK,"articulo de cocina lion brand yarn mandala impressions, bulky yarn, lakeside, 1 ",kindle edition,Lion Brand,6.8,7,5.88
B0DHS6FW9W,"microfono songmics ironing board, foldable iron board, height adjustable up to 35 inches, with 4 layered cover and pad, iron rest, hook, steel x-legs, for home, laundry room, dorm, midnight blue ullb00",kindle edition,SONGMICS,41.92,24,37.34
B0FZCYCMZJ,pelicula blu-ray shall we dance? [blu-,blu-ray,Warner Bros.,24.2,5,19.96
B00008CM6B,"articulo de cocina cuisinart 5.5 quart saute pan w/ cover, stainless steel pan with lid, large kitchen pan, dishwasher safe, compatible with induction, electric, gas cooktops, oven safe saucepan, cool grip",kindle edition,Cuisinart,78.14,44,62.65
B00429N19W,"cyberpower cp1500pfclcd pfc sinewave ups battery backup and surge protector, 1500va/1000w, 12 outlets, avr, mini tower, ul certified",kitchen,CyberPower,243.06,66,215.55
B01DDIRDZA,"producto alimenticio core power elite high protein shake, chocolate, 42g bottle, 14oz, 12 pack",blu-ray,Core Power,32.46,41,28.65
B09GPYL7BJ,bocina sonos beam gen 2 - black - soundbar with dolby atmos,kitchen,Sonos,370.99,38,312.46
B09NHV3CK9,disco duro seagate ironwolf 4tb nas internal hard drive cmr 3.5 inch sata 6gb/s 5400 rpm 64mb cache for raid network attached storage rescue services (st4000vnz06/006),automotive,Seagate,167.65,91,147.2
B0C33XXS56,"audifonos sony wf-1000xm5 premium noise cancelling truly wireless bluetooth earbuds & in-ear headphones with alexa built-in, b",kitchen,Sony,286.82,98,232.5
B0CJ8ZHMVF,memoria ram corsair vengeance ddr5 ram 32gb (2x16gb) up to 6000mhz cl36-44-44-96 1.35v amd expo intel xmp 3.0 computer memory  –  grey (cmk32gx5m2e60,kindle edition,Corsair,363.04,15,306.78
B0DZ77D5HL,"tablet apple ipad 11-inch: a16 chip, 11-inch model, liquid retina display, 128gb, wi-fi 6, 12mp front/12mp back camera, touch id, all-day battery life  –  ",kindle edition,Apple,284.39,91,241.24
B0DSWJJRQX,powercolor reaper amd radeon rx 9070 xt 16gb gddr6,kitchen,PowerColor,729.7,77,615.75
B00DPOOC4S,"microfono switch sticks folding walking cane with seat for seniors & adults, 34 –  tall quad cane chair, lightweight aluminum frame - supports 220 lbs, ergonomic non-slip handle - travel & outdoor",kitchen,Switch Sticks,40.11,45,34.23
B0CGBW6191,"articulo de cocina sun zero oslo theater grade extreme total blackout rod pocket curtain panel"" x 95"", wine red",kindle edition,Sun Zero,12.22,70,10.02
B07195C1PJ,genesis 2ft x 4ft clear light panels (pack of 6),blu-ray,Genesis,120.87,72,105.23
B0CHR8SGT2,"leviton l1461-2c single-pole switch, white (pack of 2)",kitchen,Leviton,14.42,62,12.46
B0GR22BGSM,ýýlbum musical cd live at eden project 25/ 07/2023,electronics,Universal Music,18.78,21,15.73
B00I8289CI,"libro electronico the beatles lyrics: the stories behind the music, including the handwritten drafts of more than 100 classic beatles s",grocery,Amazon,14.64,55,12.15
B003J564M6,libro electronico spqr x: a point of law: a mystery (the spqr roman mysteries book,electronics,Amazon,12.01,35,10.5
B0GYY1F1R3,"impresora garvee rolling file cabinet with 3 drawers, wood mobile filing cabinet for home office, under desk printer stand with wheels, large file drawer, 2 locking casters, brown",personal computers,GarveeLife,80.98,25,68.93
B0D6BC15PL,"memoria ram garveelife hardtop gazebo 12 ft x12 ft for all weather, with double metal roof, aluminum alloy frame, net, and curtain, permanent building for patio, deck, backyard, lawn, and garden",electronics,GarveeLife,744.48,40,634.61
B004KKXX96,accesorio automotriz pro comp alloys pxa32 16x8 5x5.0 f-blk 0mm - pxa7032-6873,personal computers,Pro Comp,102.39,81,90.93
B0DXMJGQWC,"television samsung 65-inch class oled s90f 4k smart tv (2025 model) nq4 ai gen3 processor, upscaling pro, hdr +, motion xcelerator 144hz, vision, alexa buil",personal computers,Samsung,1478.59,47,1282.77
B0F1GFD44G,"bocina dell 27 plus 4k usb-c monitor - s2725qc - 27-inch 4k (3840 x 2160) 120hz 16:9 display, amd freesync premium, srgb 99%, integrated speakers, 1500:1 contrast ratio, comfortview - ash white",personal computers,Dell,347.65,58,306.26
B0G4SW3XXP,"smartphone samsung galaxy s26 ultra, unlocked android smartphone, 512gb, privacy display, galaxy ai, ai camera, super fast charging 3.0, durable battery, 2026, us 1 year warranty, black",kindle edition,Samsung,1304.13,94,1057.61
B0GR1493ZV,"laptop apple 2026 macbook air 13-inch laptop with m5 chip: built for ai, 13.6-inch liquid retina display, 16gb unified memory, 512gb ssd, 12mp center stage camera, touch id, wi-fi 7; sky blue",health and beauty,Apple,931.04,83,753.19
B01CNTOHB8,libro electronico in the dark,kitchen,Amazon,6.06,29,5.44
B0FZWN8QC7,disco de vinilo i confess,misc.,Universal Music,19.03,58,15.97
B07NH6958Z,"atn binox 4t 384x288, 1.25-5x smart hd thermal binoculars w/laser rangefinder, video record, wi-fi, e-compass, 16hrs+ battery power",product bundle,ATN,2681.07,94,2378.51
B0BZHTVHN5,memoria ram corsair vengeance rgb ddr5 ram 32gb (2x16gb) up to 6000mhz cl36-44-44-96 1.35v intel xmp 3.0 computer memory  –  black (cmh32gx5m2e60,audio cd,Corsair,441.12,92,354.5
B0DGJ7HYG1,"audifonos apple airpods 4 wireless earbuds, bluetooth headphones, with active noise cancellation, adaptive, transparency mode, personalized spatial audio, usb-c charging case, wireless charging, h2 ",kindle edition,Apple,154.24,90,137.22
B0DK3W6TV6,"tablet apple ipad mini (a17 pro): apple intelligence, 8.3-inch liquid retina display, 128gb, wi-fi 6e, 12mp front/12mp back camera, touch id, all-day battery life  –  spac",grocery,Apple,406.0,6,328.57
B0CFPJYX7P,"amazon kindle paperwhite 16gb (newest model)  –  20% faster, with"" glare-free display and weeks of battery life  – ",kindle edition,Amazon,159.13,92,141.41
B0CNVCQZG1,"amazon kindle 16 gb (newest model) - lightest and most compact kindle, now with faster page turns, and higher contrast ratio, for an enhanced reading experience - matcha",kitchen,Amazon,109.31,77,97.59
B0DKFMSMYK,"computadora de escritorio amd ryzen 7 9800x3d 8-core, 16-thread desktop processor",lawn & patio,AMD,436.23,100,383.35
B0DSR9CHB1,pantalla tcl 55 inch class qm6k series smart tv,automotive,TCL,471.32,36,402.82
B0DSRSTJ54,pantalla tcl 65 inch class qm6k series smart tv,electronics,TCL,580.03,11,501.2
B0DZ75TN5F,"tablet apple ipad 11-inch: a16 chip, 11-inch model, liquid retina display, 128gb, wi-fi 6, 12mp front/12mp back camera, touch id, all-day battery life i¿",personal computers,Apple,286.99,73,232.08
B0DS2QG2KW,"gigabyte radeon rx 9070 xt gaming oc 16g graphics card, pcie 5.0, 16gb gddr6, gv-r9070xtgaming oc-16gd video card",office product,GIGABYTE,737.28,34,641.89
B0DVX9RF7S,pantalla tcl 75 inch class qm7k series smart tv,personal computers,TCL,1129.89,90,963.39
B0DVWXXRDL,pantalla tcl 55 inch class qm7k series smart tv,health and beauty,TCL,643.93,69,521.69
B0DYQM4BDB,"television lg 65-inch class oled evo ai 4k c5 series smart tv w/dolby atmos, dolby vision, hdr10, ai super upscaling 4k, filmmaker mode, wow orchestra, alexa built-in (oled65c5pua, 2",kindle edition,LG,1475.08,70,1253.8
B0F3PQHWTZ,"audifonos sony wh-1000xm6 the best noise canceling wireless headphones, hd nc processor qn3, 12 microphones, adaptive nc optimizer, mastered by engineers, studio-quality, 30-hour battery, b",vinyl,Sony,409.94,28,356.8
B0F3GWXLTS,videojuego nintendo switch 2 system,electronics,Nintendo,454.07,81,396.77
B0FQFB8FMG,"audifonos apple airpods pro 3 wireless earbuds, active noise cancellation, live translation, heart rate sensing, hearing aid feature, bluetooth headphones, spatial audio, high-fidelity sound, usb-c char",personal computers,Apple,193.01,68,162.96
B09SGQ1DZ7,alesis asp-1 mkii universal sustain pedal and momentary footswitch with 5ft cable and non-slip bottom,wireless phone accessory,Alesis,17.13,83,14.86
B0DK7NLDHL,"libro electronico game on: a reverse grumpy sunshine, hilarious female stalker, suspense spicy romance trilogy (gangsters paradise book",personal computers,Amazon,0.98,32,0.79
B0CWV8KGV3,"articulo de cocina insulated water bottle with strap,25 oz double wall stainless steel vacuum bottles metal water flask,turqu",electronics,Generic,12.21,89,10.9
B0FTZZV4DR,producto de salud y belleza marc jacobs daisy eau so fresh eau de toilette for women & body lotion trio gift set,electronics,Marc Jacobs,136.41,32,113.49
B0GT7CRZ93,"articulo de jardin worx cordless lawn m"" 40v electric mower with brushless motor, lightweight 2 in 1 push lawn mower with 6-position height adjustment for small yards, 2 batteries & charger included, wg735",personal computers,WORX,229.98,91,195.76
B0D2JCFF54,pelicula blu-ray kitty's vault klassics: high 5 ,electronics,Warner Bros.,31.15,97,25.23
B008FZLLR8,libro electronico midnight assassin: a murder in america's heart,electronics,Amazon,3.3,9,2.95
B0CDMJV2NN,"producto de oficina hallmark shoebox funny valentines day card for husband, wife, boyfriend, girlfriend, spouse (pet zone)",personal computers,Hallmark,4.67,50,3.9
B006FWNARM,articulo para el hogar the stupell home decor collection purple damask claw foot tub bathroom wall pl,personal computers,The Stupell Home Decor Collection,13.29,31,11.51
B0BW988GP1,herramienta nilight 7 pin round to 7 way rv blade trailer adapter connector wiring harness electric adapter plug connector for semi truck commercial vehicle pickup tractor,electronics,Nilight,21.86,13,18.89
B0F5PJ64CT,"articulo de cocina queen loft bed with stairs and wardrobe, queen size loft bed with desk and storage, heavy duty loft beds with charging station and light, game loft beds for adults, teens, kids, w",electronics,Generic,459.98,2,385.94
B0016HF5GK,"articulo de cocina bissell little green multi-purpose portable carpet and upholstery cleaner, car and auto detailer, with exclusive specialty tools, green, 1",electronics,BISSELL,128.21,15,103.64
B00540JS7C,"herramienta dewalt miter saw, 12-inch double bevel sliding compound miter saw with xps led shadow light system, includes blade wrench, material clamp and dust bag (dws780)",electronics,DEWALT,478.13,52,395.8
B015TKUPIC,"accesorio automotriz noco boost gb40: 1000a ultrasafe jump starter  –  12v lithium battery booster pack, portable jump box, power bank & jumper cables - for 6.0l gas and 3.0l diesel e",electronics,NOCO,105.15,82,91.2
B01N5UPTZS,"articulo de cocina breville bov900bss smart oven air fryer pro and convection oven, brushed stainless s",video game,Breville,333.46,53,274.92
B084ZTSMWF,disco duro seagate ironwolf 12tb nas internal hard drive hdd  –  cmr 3.5 inch sata 6gb/s 7200 rpm 256mb cache for raid network attached storage (st12000vnz008/st12000v,electronics,Seagate,407.37,53,355.31
B07PDZRQWY,"articulo de jardin ego power+ battery 56v,2.5ah -",electronics,EGO POWER+,111.67,66,100.08
B0B7CQ2CHH,"unidad ssd wd_black sn850x 4tb nvme ssd - m.2 2280, up to 7,300 mb/s read speeds, up to 6,300 mb/s write speeds, gaming expansion, high performance internal solid state drive - wds400t2x0e",kindle edition,WD_BLACK,312.62,75,264.87
B0BHJF2VRN,"unidad ssd samsung 990 pro ssd 1tb pcie 4.0 m.2 2280 internal solid state hard drive, seq. read speeds up to 7,450 mb/s for high end computing, gaming, and heavy duty workstations, mz-v9p1t0b/am",kitchen,Samsung,257.51,25,215.49
B0CCZ26B5V,"audifonos bose quietcomfort headphones - wireless bluetooth headphones, active over ear noise cancelling and mic, usb-c charging, deep bass, up to 24 hours of playtime, b",health and beauty,Bose,249.87,26,215.81
B0CGGYYK2D,bocina sonos move 2 - black - wireless portable bluetooth speaker,lawn & patio,Sonos,362.99,48,315.69
B0CT3SGHXL,"television garmin forerunner 165, running smartwatch, colorful amoled display, training metrics and recovery insights, b",blu-ray,Garmin,209.82,18,177.37
B0DBR3DZWG,unidad ssd kingston nv3 1tb m.2 2280 nvme ssd,kindle edition,Kingston,164.98,74,136.83
B0D2LZYQ2M,articulo de cocina ninja slushi frozen drink & slushie machine with rapidchill techno,office product,Ninja,269.59,89,229.44
B0CTL2QFN7,"ego power+ cordless electric lawn mower, self-propelled, includes 56v 7.5ah battery and rapid charger (lm2135sp) plus extra 5.0ah battery (ba2800t)",home,EGO POWER+,723.87,41,583.02
1234,lapicera,tools & home improvement,Temu,,85,
B0CRLF89RD,libro electronico addis ababa noir (akashic n,lawn & patio,Amazon,13.61,73,12.1
B09B2RXSYY,libro electronico no more police: a case for aboli,kitchen,Amazon,6.48,83,5.25
B001MT5NSC,libro electronico betrayal: the crisis in the catholic church: the findings of the investigation that inspired the major motion picture spotl,kindle edition,Amazon,12.11,55,9.83
B0G228YS3J,libro electronico safe with ,kitchen,Amazon,3.78,57,3.18
B073XS793S,articulo deportivo 7' golf cart enclosure cover for 2-seater by trademark innovat,tools & home improvement,Trademark Innovations,53.53,1,45.1
B0DT1KZDBY,"producto de salud y belleza darigold ready to drink chocolate protein shake, 30g protein, no added sugar, lactose free, only 170 calories, electrolytes, gluten free - 14oz bottles 12 pack",automotive,Darigold,39.57,10,35.52
B000BPC7DM,"ýýlbum musical cd the complete motown singles, vol. 3",kitchen,Universal Music,57.65,80,46.52
B00AKICENS,prenda de vestir youthefan ncaa auburn tigers classic series 3-piece bbq set,personal computers,YouTheFan,20.46,40,16.69
B07333F2GF,articulo de cocina,lawn & patio,FDW,83.35,71,72.22
B0FV12FK2Q,"producto de salud y belleza marc jacobs daisy love eau de toilette 3-pc set (daisy love women's eau de toilette 3.3oz  –  travel spray 0.33oz  –  body lotion for women 2.5oz) notes of cloudberries, daisy petals, a",personal computers,Marc Jacobs,117.59,6,99.39
B01704EQBM,"prenda de vestir kimberly-clark spring green nitrile exam gloves (43437), 4.7 mil, ambidextrous, 9.5 – , xs, 200 gloves",personal computers,Kimberly-Clark,73.92,3,61.87
B0CG19QXWD,"camara dji osmo pocket 3, vlogging cameras with 1'' cmos & 4k/120fps vlog camera, 3-axis stabilization, fast focusing, face/object tracking, digital vlogging camera for you",electronics,DJI,465.84,84,386.91
B09V3CPSCQ,accesorio automotriz westin 57-23955 hdx 3-piece grille guard fits 2019-2026 silverado 1500 and 2022 silverado 1500 ltd (exc zr2 and 2019 ld)(exc with sensors),electronics,Westin,790.97,45,646.44
B01N0F5LNK,"libro electronico the beeswax workshop: how to make your own natural candles, cosmetics, cleaners, soaps, healing balms and ",electronics,Amazon,5.63,30,4.65
B08DMLZQXW,"producto alimenticio twinings holiday variety pack tea bags, christmas tea, winter spice, gingerbread joy, peppermint cheer, 20 count (pack of 4), enjoy hot or iced, 80 teabags",personal computers,Twinings,23.48,73,20.92
B0DYQFW6TR,"television lg 77-inch class oled evo ai 4k c5 series smart tv w/dolby atmos, dolby vision, hdr10, ai super upscaling 4k, filmmaker mode, wow orchestra, alexa built-in (oled77c5pua, 2",kitchen,LG,2087.57,31,1827.97
B01ATK2G0M,"articulo de jardin design toscano asian dragon of the great wall garden statue, large 29 inch long, cast stone resin, green bronze verdigri",escolar,Design Toscano,73.76,81,61.12
